"","names.output."
"1","activityLabel"
"2","activityName"
"3","activitySubject"
"4","tGravityAccmeanX"
"5","tGravityAccmeanY"
"6","tGravityAccmeanZ"
"7","tGravityAccstdX"
"8","tGravityAccstdY"
"9","tGravityAccstdZ"
"10","tGravityAccMagmean"
"11","tGravityAccMagstd"
"12","tBodyGyroJerkMagmean"
"13","tBodyGyroJerkMagstd"
"14","fBodyAccmeanX"
"15","fBodyAccmeanY"
"16","fBodyAccmeanZ"
"17","fBodyAccstdX"
"18","fBodyAccstdY"
"19","fBodyAccstdZ"
"20","fBodyAccJerkmeanX"
"21","fBodyAccJerkmeanY"
"22","fBodyAccJerkmeanZ"
"23","fBodyAccJerkstdX"
"24","fBodyAccJerkstdY"
"25","fBodyAccJerkstdZ"
"26","fBodyGyromeanX"
"27","fBodyGyromeanY"
"28","fBodyGyromeanZ"
"29","fBodyGyrostdX"
"30","fBodyGyrostdY"
"31","fBodyGyrostdZ"
"32","fBodyAccMagmean"
"33","fBodyAccMagstd"
"34","fBodyBodyAccJerkMagmean"
"35","fBodyBodyAccJerkMagstd"
"36","fBodyBodyGyroMagmean"
"37","fBodyBodyGyroMagstd"
"38","fBodyBodyGyroJerkMagmean"
"39","fBodyBodyGyroJerkMagstd"
